ID,Full Name,Korean Name,Birth Year,Group,Country,Gender
339,Kim Gihwan,김기환,1993,SIGNAL,South Korea,M
340,Kim Gijung,김기중,2001,IM,South Korea,M
341,Lee Gikwang,이기광,1990,Highlight,South Korea,M
342,Park Giru,박기루,1991,Blady,South Korea,F
343,Uchinaga Aeri,우치나가 애리,2000,aespa,Japan,F
344,Jun Giseok,정기석,1997,IM,South Korea,M
345,Kim Kwanghyun,김광현,1998,DKB,South Korea,M
346,Jang Junho,고유,2001,BLITZERS,South Korea,M
347,Na Goeun,나고은,1999,Purple Kiss,South Korea,F
348,Kim Dongsung,김동성,1992,,South Korea,M
349,Go Hyeon,고현,1994,14U,South Korea,M
350,Kim Seongjung,김성중,1998,ARGON,South Korea,M
351,Gong Chansik,공찬식,1993,B1A4,South Korea,M
352,Park Chaewon,박채원,2000,LOONA,South Korea,F
353,Moon Joojeong,문유정,1998,Berry Good,South Korea,F
354,Kim Gaeun,김가운,1996,H.U.B,South Korea,F
355,Kim Jiwon,김지원,1997,RedSquare,South Korea,F
356,Kwak Gun,곽건,2001,14U,South Korea,M
357,Lee Gunmin,이건민,1994,B.I.G,South Korea,M
358,Lee Gunwoo,이건우,1989,MYNAME,South Korea,M
359,Kim Gunwoo,김건우,2002,T1419,South Korea,M
360,Jo Gyehyeon,조계현,1999,Verivery,South Korea,M
361,Kwon Gyeongtae,권경태,2000,14U,South Korea,M
362,Han Gyujin,한규진,1997,UP10TION,South Korea,M
363,Park Gyuri,박규리,1988,KARA,South Korea,F
364,Jang Gyuri,장규리,1997,fromis_9,South Korea,F
365,Yoo Habin,유하빈,2002,,South Korea,F
366,Han Haebin,한해빈,1995,Gugudan,South Korea,F
367,Lee Donghyuk,이동혁,2000,NCT,South Korea,M
368,Yeom Haein,염해인,1995,LABOUM,South Korea,F
369,Lee Haena,이해나,1991,Matilda,South Korea,F
370,Jeon Eunbi,전은비,2002,ANS,South Korea,F
371,Lee Haeri,이해리,1985,Davichi,South Korea,F
372,Jung Haeri,정해리,1997,P.O.P,South Korea,F
373,Kang Haerin,강해린,2006,NewJeans,South Korea,F
374,Na Haeryeong,나해령,1994,BESTie,South Korea,F
375,Yoon Haeun,윤하은,1999,3YE,South Korea,F
376,Lim Haeun,임하은,2008,Lapillus,South Korea,F
377,Oh Haewon,오해원,2003,NMIXX,South Korea,F
378,Lee Taeyeon,이태연,1994,Gate9,South Korea,F
379,Park Haeyoon,박해윤,1996,Cherry Bullet,South Korea,F
380,Lee Hajeong,이하정,1997,,South Korea,F
381,Lee Hakmin,이학민,2000,TRCNG,South Korea,M
382,Jo Hamin,조하민,1997,ENOi,South Korea,M
383,Han Jisung,한지성,2000,Stray Kids,South Korea,M
384,Han Geng,한경,1984,,China,M
385,Han Hyeri,한혜리,1997,I.B.I,South Korea,F
386,Han Jiyoon,한지윤,2000,Rockit Girl,South Korea,F
387,Shin Bora,신보라,1993,Gugudan,South Korea,F
388,Jung Hana,정하나,1990,SECRET,South Korea,F
389,Hayase Hana,하야세 하나,2000,ILY:1,Japan,F
390,Ngo Ngoc Hung,응오 응옥 흥,1998,TEMPEST,Vietnam,M
391,Ahn Hanbyeol,안한별,2003,,South Korea,F
392,Kyung Hanbyul,경한별,2005,PRECIOUS,South Korea,F
393,Han Dong,한동,1996,Dreamcatcher,China,F
394,Lee Haneul,이하늘,1996,ARGON,South Korea,M
395,Choi Haneul,최하늘,2000,Saturday,South Korea,F
396,Song Hangyeom,송한겸,1996,OMEGA X,South Korea,M
397,Lee Hangyul,이한결,1999,BAE173,South Korea,M
398,Ahn Hee-yeon,안희연,1992,EXID,South Korea,F
399,Shin Jiyeon,신지연,1994,MIXX,South Korea,F
400,Pham Ngoc Han,팜응옥헌,2004,NewJeans,Vietnam,F
401,Do Hanse,도한세,1997,VICTON,South Korea,M
402,Kim Hansol,김한솔,1993,,South Korea,M
403,Byun Hanwoom,변한움,2001,PRECIOUS,South Korea,F
404,Kim Haram,김하람,2001,Billlie,South Korea,F
405,Koo Hara,구하라,1991,KARA,South Korea,F
406,Ju Harin,주하린,1998,Onewe,South Korea,M
407,Park Guenhye,박근혜,2000,Pink Fantasy,South Korea,F
408,Seo Harin,서하린,2000,BOTOPASS,South Korea,F
409,Han Harry-June,한해리준,2004,DKB,South Korea,M
410,Han Sangsook,한상숙,1994,Gate9,South Korea,F
411,Abe Haruno,아베 하루노,2000,NATURE,Japan,F
412,Lee Yoojeong,이유정,1997,Ho1iday,South Korea,F
413,Osato Haruna,오사토 하루나,2006,Billlie,Japan,F
414,Watanabe Haruto,와타나베 하루토,2004,Treasure,Japan,M
415,Jo Haseul,조하슬,1997,LOONA,South Korea,F
416,Jung Hayoon,정하윤,1998,Bonus Baby,South Korea,F
417,Oh Hayoung,오하영,1996,Apink,South Korea,F
418,Lee Hayoung,이하영,1993,Playback,South Korea,F
419,Choi Hayoung,최하영,2000,TRCNG,South Korea,M
420,Song Hayoung,송하영,1997,fromis_9,South Korea,F
421,Lee Hayun,이하윤,1994,,South Korea,F
422,Choi Hayun,최하윤,2004,Hi-L,South Korea,F
423,Yang Heechan,양희찬,1999,DKB,South Korea,M
424,Kim Heechul,김희철,1983,Super Junior,South Korea,M
425,Jung Heechul,정희철,1989,ZE:A,South Korea,M
426,Yoon Heedo,유희도,1996,B.I.G,South Korea,M
427,Jeon Heejin,전희진,2000,LOONA,South Korea,F
428,Song Heejin,송희진,1995,Good Day,South Korea,F
429,Jeon Heejoo,전희주,1996,Ho1iday,South Korea,F
430,Oh Heejun,오희준,1996,KNK,South Korea,M
431,Gwak Heeoh,곽히오,1994,4TEN,South Korea,F
432,Yun Heeseok,윤희석,1997,Limitless,South Korea,M
433,Lee Heeseung,이희승,2001,ENHYPEN,South Korea,M
434,Kim Heesu,김희수,1998,Maka Maka,South Korea,F
435,Park Heesun,박희선,2005,Pink Fantasy,South Korea,F
436,Choi Heejae,최희재,1995,MIXX,South Korea,F
437,Kang Gayoung,강가영,1994,,South Korea,F
438,Henry Lau,헨리 라우,1989,Super Junior-M,Canada,M
439,Heo Chan,허찬,1995,VICTON,South Korea,M
440,Kim Dohee,김도희,1996,Sonamoo,South Korea,F
441,Lim Hyeontae,임현태,1994,Bigflo,South Korea,M
442,Ezaki Hikaru,에자키 히카루,2004,Kep1er,Japan,F
443,Kim Himchan,김힘찬,1990,B.A.P,South Korea,M
444,Honda Hitomi,혼다 히토미,2001,IZ*ONE,Japan,F
445,Lee Hohyeon,이호현,2001,TRCNG,South Korea,M
446,Jeon Hojoon,전호준,1992,Topp Dogg,South Korea,M
447,Go Hojung,고호정,1994,HOTSHOT,South Korea,M
448,Lee Hongbin,이홍빈,1993,VIXX,South Korea,M
449,Lee Honggi,이홍기,1990,FTISLAND,South Korea,M
450,Yoon Hongil,윤홍일,1999,Astin,South Korea,M
