   Value:      BST:      AVL:    Splay: 
      1006      1006        10         1
      1007      1007         6         1
      1008      1008        10         1
      1009      1009         9         1
      1010      1010        10         1
      1011      1011         8         1
      1012      1012        10         1
      1013      1013         9         1
      1014      1014        10         1
      1015      1015         7         1
      1016      1016        10         1
      1017      1017         9         1
      1018      1018        10         1
      1019      1019         8         1
      1020      1020        10         1
      1021      1021         9         1
      1022      1022        10         1
      1023      1023         0         1
      1024      1024         9         1
      1025      1025         8         1
      1026      1026         9         1
      1027      1027         7         1
      1028      1028         9         1
      1029      1029         8         1
      1030      1030         9         1
      1031      1031         6         1
      1032      1032         9         1
      1033      1033         8         1
      1034      1034         9         1
      1035      1035         7         1
      1036      1036         9         1
      1037      1037         8         1
      1038      1038         9         1
      1039      1039         5         1
      1040      1040         9         1
      1041      1041         8         1
      1042      1042         9         1
      1043      1043         7         1
      1044      1044         9         1
      1045      1045         8         1
      1046      1046         9         1
      1047      1047         6         1
      1048      1048         9         1
      1049      1049         8         1
      1050      1050         9         1
      1051      1051         7         1
      1052      1052         9         1
      1053      1053         8         1
      1054      1054         9         1
      1055      1055         4         1
      1056      1056         9         1
      1057      1057         8         1
      1058      1058         9         1
      1059      1059         7         1
      1060      1060         9         1
      1061      1061         8         1
      1062      1062         9         1
      1063      1063         6         1
      1064      1064         9         1
      1065      1065         8         1
      1066      1066         9         1
      1067      1067         7         1
      1068      1068         9         1
      1069      1069         8         1
      1070      1070         9         1
      1071      1071         5         1
      1072      1072         9         1
      1073      1073         8         1
      1074      1074         9         1
      1075      1075         7         1
      1076      1076         9         1
      1077      1077         8         1
      1078      1078         9         1
      1079      1079         6         1
      1080      1080         9         1
      1081      1081         8         1
      1082      1082         9         1
      1083      1083         7         1
      1084      1084         9         1
      1085      1085         8         1
      1086      1086         9         1
      1087      1087         3         1
      1088      1088         9         1
      1089      1089         8         1
      1090      1090         9         1
      1091      1091         7         1
      1092      1092         9         1
      1093      1093         8         1
      1094      1094         9         1
